loan_id,interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use
1028396,10.36,24.24,2.68,34.48,0.0,0.0,7.05,0.84,20.26,27.57,60.0,2,5,0,1,2,3
1025186,28.53,18.18,2.09,17.24,0.0,0.0,58.09,1.36,34.33,21.08,20.0,2,3,0,1,0,0
1032184,19.05,15.15,2.97,15.52,0.0,0.0,44.23,2.11,18.7,13.24,60.0,2,3,0,0,8,4
1017423,22.75,15.15,1.42,15.52,0.0,0.0,56.35,1.88,16.46,0.0,20.0,3,3,2,1,6,0
1037962,32.57,33.33,2.22,22.41,0.0,0.0,32.33,0.98,19.99,27.21,60.0,3,3,2,0,5,7
1002492,0.03,9.09,1.7,13.79,0.0,0.0,74.2,1.48,6.48,8.82,0.0,1,3,1,0,1,2
1001571,42.44,27.27,2.29,25.86,0.0,0.0,50.51,4.23,35.37,22.3,0.0,4,3,2,0,3,0
1023261,51.85,9.09,1.11,8.62,0.0,0.0,49.66,0.19,46.63,48.53,0.0,4,3,1,0,4,0
1016427,14.24,21.21,1.22,18.97,0.0,0.0,55.63,1.41,38.1,37.75,20.0,2,3,2,1,4,0
1040795,34.97,27.27,1.79,24.14,0.0,0.0,64.52,5.09,36.41,23.53,0.0,3,5,1,0,5,3
1014361,31.06,9.09,1.36,10.34,0.0,0.0,74.95,0.88,11.72,4.41,0.0,3,3,1,1,6,0
1040565,36.0,15.15,1.34,8.62,0.0,0.0,72.79,1.79,28.73,39.09,0.0,4,3,0,0,8,0
1035824,28.76,24.24,0.87,17.24,0.0,0.0,27.93,0.54,39.17,39.09,20.0,2,3,0,1,2,5
1038790,37.54,45.45,2.83,34.48,0.0,0.0,81.7,4.35,62.59,54.41,0.0,3,3,2,0,8,0
1007332,12.37,15.15,2.73,10.34,0.0,0.0,67.41,4.5,58.27,63.24,40.0,2,3,0,1,1,4
1029440,66.2,18.18,2.19,17.24,0.0,0.0,53.95,1.28,21.03,16.18,0.0,6,5,1,1,2,0
1032390,27.07,9.09,1.53,13.79,0.0,0.0,35.09,1.17,10.54,14.34,60.0,2,3,0,0,6,0
1023748,14.45,27.27,1.6,20.69,0.0,0.0,40.0,0.96,19.26,3.31,0.0,2,3,1,0,9,0
1036011,15.24,6.06,0.54,6.9,0.0,0.0,72.7,1.01,28.79,25.98,0.0,2,5,0,0,1,4
1015463,75.93,6.06,1.46,10.34,8.33,0.0,66.51,1.03,15.49,21.08,60.0,6,5,2,0,6,0
1029870,33.01,24.24,2.06,18.97,0.0,0.0,48.75,1.51,37.45,24.75,0.0,3,5,0,0,3,4
1040055,20.4,9.09,1.47,13.79,0.0,0.0,59.02,1.39,14.34,7.72,0.0,2,5,0,2,0,0
1003829,13.72,21.21,2.65,22.41,0.0,0.0,47.07,2.65,23.94,19.85,20.0,2,3,1,0,1,0
1013567,46.13,6.06,1.04,18.97,8.33,0.0,2.68,0.1,78.8,73.53,60.0,4,3,2,0,1,2
