loan_id,interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use
1028396,7.803,8.0,26.72727273,21,0,0.0,8.507692308,6558.461538,695.7954545,642.2727273,3,B,5,0,1,2 years,3
1025186,13.11,6.0,20.88,11,0,0.0,70.06153846,10584.0,772.7272727,618.1818182,1,B,3,0,1,1 year,0
1032184,10.341,5.0,29.66181818,10,0,0.0,53.35384615,16474.61538,687.2727273,589.0909091,3,B,3,0,0,8 years,4
1017423,11.421,5.0,14.16,10,0,0.0,67.96153846,14666.0,675.0,540.0,1,C,3,2,1,6 years,0
1037962,14.289,11.0,22.17818182,14,0,0.0,39.0,7599.0,694.3181818,640.9090909,3,C,3,2,0,5 years,7
1002492,4.788,3.0,16.96,9,0,0.0,89.49230769,11503.84615,620.4545455,572.7272727,0,A,3,1,0,10+ years,2
1001571,17.171,9.0,22.84,16,0,0.0,60.92307692,32963.53846,778.4090909,622.7272727,0,D,3,2,0,3 years,0
1023261,19.92,3.0,11.05090909,6,0,0.0,59.9,1498.0,840.0,720.0,0,D,3,1,0,4 years,0
1016427,8.937,7.0,12.19,12,0,0.0,67.1,10978.15385,793.3333333,680.0,1,B,3,2,1,4 years,0
1040795,14.99,9.0,17.88181818,15,0,0.0,77.81538462,39644.76923,784.0909091,627.2727273,0,C,5,1,0,5 years,3
1014361,13.849,3.0,13.55454545,7,0,0.0,90.4,6881.538462,649.0909091,556.3636364,0,C,3,1,1,6 years,0
1040565,15.291,5.0,13.39,6,0,0.0,87.8,13934.76923,742.0833333,685.0,0,D,3,0,0,8 years,0
1035824,13.178,8.0,8.663636364,11,0,0.0,33.69230769,4210.769231,799.1666667,685.0,1,B,3,0,1,2 years,5
1038790,15.741,15.0,28.28454545,21,0,0.0,98.53846154,33894.23077,927.2727273,741.8181818,0,C,3,2,0,8 years,0
1007332,8.39,5.0,27.27272727,7,0,0.0,81.30769231,35038.84615,903.6363636,774.5454545,2,B,3,0,1,10+ years,4
1029440,24.11,6.0,21.84545455,11,0,0.0,65.07692308,10009.0,700.0,600.0,0,F,5,1,1,2 years,0
1032390,12.683,3.0,15.24545455,9,0,0.0,42.32307692,9140.923077,642.6136364,593.1818182,3,B,3,0,0,6 years,0
1023748,8.998,9.0,16.02,13,0,0.0,48.24615385,7485.0,690.3409091,552.2727273,0,B,3,1,0,9 years,0
1036011,9.229,2.0,5.4,5,0,0.0,87.69230769,7830.0,742.4242424,636.3636364,0,B,5,0,0,10+ years,4
1015463,26.95,2.0,14.60909091,7,1,0.0,80.21538462,8024.307692,669.6969697,618.1818182,3,F,5,2,0,6 years,0
1029870,14.418,8.0,20.6,12,0,0.0,58.8,11768.61538,789.7727273,631.8181818,0,C,5,0,0,3 years,4
1040055,10.736,3.0,14.67272727,9,0,0.0,71.18461538,10856.30769,663.4090909,568.6363636,0,B,5,0,2,1 year,0
1003829,8.784,7.0,26.48,14,0,0.0,56.76923077,20672.0,715.9090909,613.6363636,1,B,3,1,0,10+ years,0
1013567,18.25,2.0,10.41545455,12,1,0.0,3.230769231,754.0,1015.909091,812.7272727,3,D,3,2,0,10+ years,2
1005417,11.99,7.0,17.15454545,14,0,0.0,33.4,61955.38462,840.0,720.0,0,B,5,2,2,,0
1030963,16.555,2.0,19.13636364,6,1,1.0,88.7,3522.461538,663.4090909,568.6363636,0,C,5,0,1,1 year,0
1009725,13.779,5.0,26.49,13,0,0.0,65.4,31248.0,672.9545455,576.8181818,4,C,5,2,0,10+ years,0
1048823,7.579,4.0,5.323636364,8,0,0.0,19.2,9224.923077,660.3409091,609.5454545,3,A,3,0,1,,0
1011962,13.491,4.0,9.515454545,5,1,1.0,71.1,9602.307692,630.0,540.0,0,C,3,2,0,8 years,0
1038807,12.837,3.0,3.657272727,9,1,1.0,13.5,2036.538462,787.5,675.0,0,B,3,2,2,,0
1003203,8.679,2.0,9.054545455,9,0,0.0,41.67692308,13165.38462,900.0,720.0,3,A,3,1,0,,0
1024904,21.99,3.0,19.60909091,8,0,0.0,61.3,13187.0,862.7272727,796.3636364,0,E,5,1,0,9 years,0
1037665,15.378,9.0,23.95636364,12,0,0.0,85.72307692,32420.30769,821.3636364,758.1818182,3,C,3,1,2,10+ years,0
1031818,15.037,8.0,9.065454545,14,1,1.0,28.8,5820.0,715.9090909,572.7272727,2,C,3,1,1,8 years,5
1024734,7.62,,14.02727273,9,0,0.0,15.57692308,1657.0,738.6363636,681.8181818,2,A,3,2,0,6 years,5
1048390,6.92,5.0,16.92,12,0,0.0,44.5,18062.30769,806.8181818,645.4545455,3,A,3,1,1,8 years,4
1033421,13.67,9.0,13.04181818,12,0,0.0,69.11538462,11313.0,878.1818182,752.7272727,0,C,3,1,0,10+ years,0
1004660,14.949,4.0,14.40818182,5,0,0.0,115.9615385,10450.0,890.9090909,763.6363636,0,C,3,2,2,,0
1015409,12.089,5.0,20.20090909,9,0,0.0,63.78461538,11131.0,649.0909091,556.3636364,0,B,3,0,1,10+ years,0
1038626,13.014,7.0,20.42181818,9,0,0.0,67.38461538,8682.153846,736.6666667,680.0,3,C,5,0,0,5 years,4
1041675,8.67,5.0,13.39636364,12,0,0.0,16.8,6393.461538,906.25,725.0,3,B,3,2,0,10+ years,0
1017147,9.891,5.0,13.36,11,0,0.0,40.9,100698.4615,851.6666667,730.0,2,B,5,0,0,10+ years,5
1021884,10.75,5.0,17.52545455,7,0,0.0,80.01538462,6089.0,725.8333333,670.0,0,B,3,2,1,7 years,0
1029760,24.49,5.0,13.74,18,0,0.0,4.430769231,2534.769231,616.0227273,568.6363636,0,E,3,2,2,3 years,0
1042241,12.087,,1.48,10,0,0.0,6.115384615,1212.615385,960.9090909,823.6363636,0,C,5,2,2,8 years,2
1016376,9.49,2.0,3.556363636,5,0,0.0,18.6,9060.153846,1070.454545,856.3636364,3,B,3,0,0,10+ years,0
1018968,13.519,5.0,8.427272727,9,0,0.0,48.34615385,4276.0,736.6666667,680.0,2,C,3,1,1,10+ years,3
1020389,7.689,4.0,15.28181818,8,0,0.0,39.41538462,779021.0,809.5454545,747.2727273,3,A,3,0,0,10+ years,0
1040872,15.291,7.0,11.82,11,0,0.0,82.15384615,207456.0,736.3636364,589.0909091,1,D,3,2,0,10+ years,0
