loan_id,interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use
1040418,22.9,3.03,0.24,3.45,0.0,0.0,76.11,0.99,11.72,4.41,60.0,3,3,1,0,3,2
1025197,41.31,21.21,1.1,3.45,0.0,0.0,45.43,4.02,56.46,47.18,0.0,3,5,2,0,1,0
1009360,14.11,18.18,0.64,6.9,0.0,0.0,47.83,2.38,58.27,63.24,0.0,1,3,0,1,1,4
1039708,0.03,15.15,0.92,3.45,0.0,0.0,35.32,2.66,53.03,56.62,0.0,1,3,1,0,6,0
1027483,27.43,30.3,1.56,24.14,0.0,0.0,25.26,1.8,22.97,18.63,0.0,3,3,1,2,10,0
1047529,20.06,18.18,1.58,5.17,0.0,0.0,48.83,2.06,19.09,25.98,0.0,2,3,1,0,1,0
1030964,37.54,12.12,0.42,13.79,8.33,20.0,14.11,0.2,11.89,16.18,0.0,3,5,2,1,1,0
1024822,22.98,12.12,0.22,5.17,0.0,0.0,28.77,0.65,40.23,40.44,0.0,2,3,1,1,2,4
1008720,52.35,18.18,2.3,13.79,8.33,20.0,73.47,2.41,30.17,16.18,0.0,4,3,2,0,11,0
1045305,32.71,9.09,2.12,12.07,0.0,0.0,77.39,0.44,22.07,6.62,0.0,3,3,1,1,4,0
1007760,27.8,12.12,2.45,29.31,0.0,0.0,57.29,3.56,19.09,25.98,0.0,3,5,1,1,3,0
1042906,55.17,9.09,3.76,12.07,0.0,0.0,57.68,1.79,58.85,50.0,0.0,5,3,2,2,11,0
1047890,5.86,24.24,2.98,39.66,0.0,0.0,40.08,4.03,35.58,34.56,0.0,1,3,1,2,10,0
1049951,42.16,9.09,2.32,8.62,16.67,0.0,90.18,0.65,33.83,32.35,0.0,4,3,1,1,1,0
1043543,36.0,9.09,2.94,8.62,0.0,0.0,68.23,2.77,39.17,39.09,0.0,4,5,0,0,1,0
1020746,26.85,12.12,3.68,15.52,0.0,0.0,24.26,0.93,22.19,17.65,0.0,3,3,0,1,11,0
1010877,27.09,9.09,2.75,27.59,0.0,0.0,7.14,0.51,64.77,71.45,0.0,3,5,2,0,3,0
1015159,6.29,24.24,2.07,17.24,0.0,0.0,48.31,1.37,3.24,4.41,0.0,1,3,2,0,3,0
1001504,5.18,24.24,1.5,15.52,8.33,0.0,44.02,6.84,16.08,9.93,0.0,1,3,1,0,0,4
