loan_id,interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use
1018627,83.42,24.24,2.09,15.52,0.0,0.0,71.08,8.4,15.21,8.82,80.0,6,5,2,1,0,0
1041636,53.51,18.18,2.44,15.52,0.0,0.0,64.09,2.14,26.85,23.53,0.0,5,3,2,2,6,0
1047652,2.87,15.15,1.51,13.79,0.0,0.0,57.21,3.7,23.59,32.11,0.0,1,3,1,2,1,4
1005732,21.82,12.12,1.01,15.52,8.33,20.0,20.36,0.85,13.47,6.62,0.0,3,5,0,0,6,0
1032731,21.04,33.33,1.55,24.14,8.33,20.0,20.89,1.55,39.98,54.41,0.0,2,3,1,1,5,4
1017250,8.85,33.33,2.09,31.03,0.0,0.0,59.6,2.4,47.32,36.4,0.0,2,3,2,0,1,4
1005343,18.18,15.15,2.08,12.07,0.0,0.0,55.8,2.25,23.77,32.35,40.0,2,3,1,1,4,4
1016312,53.84,33.33,2.07,29.31,0.0,0.0,76.52,3.33,35.66,48.53,0.0,5,3,2,1,6,4
1049648,45.0,15.15,1.31,6.9,0.0,0.0,85.62,3.91,17.39,1.1,100.0,4,5,1,1,2,0
1039525,2.87,15.15,1.67,12.07,0.0,0.0,54.64,3.91,47.84,37.01,0.0,1,3,0,0,1,4
1000615,7.57,9.09,0.77,18.97,0.0,0.0,2.45,0.32,88.78,85.29,0.0,1,3,0,0,0,3
1001211,21.27,33.33,2.27,37.93,0.0,0.0,64.46,2.15,25.76,35.05,60.0,2,3,0,1,5,4
1011958,72.88,36.36,1.07,25.86,0.0,0.0,39.38,1.18,11.72,4.41,0.0,7,5,1,0,3,0
1035359,40.81,12.12,2.12,13.79,0.0,0.0,52.42,3.54,11.72,4.41,100.0,5,5,2,2,1,0
1034590,16.77,12.12,3.0,18.97,0.0,0.0,28.51,3.8,55.11,75.0,60.0,2,3,0,1,8,0
1012786,0.0,3.03,1.35,13.79,0.0,0.0,1.74,0.11,57.45,78.19,60.0,1,3,0,1,7,1
1027248,38.5,33.33,1.91,34.48,0.0,0.0,53.86,4.02,36.74,50.0,60.0,3,3,1,0,5,0
1032817,14.42,15.15,1.37,10.34,0.0,0.0,86.48,1.53,54.18,44.49,40.0,2,3,1,1,1,0
1031848,36.0,24.24,3.03,20.69,0.0,0.0,56.43,2.48,26.75,36.4,80.0,4,5,1,0,8,4
1018530,12.88,18.18,1.44,43.1,0.0,0.0,3.73,0.49,57.3,62.01,0.0,2,5,1,0,4,0
