interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use,isDefault
11.466,1.0,2.43,3,0,0.0,91.8,7734.230769,649.0909091,556.3636364,3,C,3,1,0,3 years,2,0
16.841,7.0,11.00454545,3,0,0.0,54.8,31329.0,893.75,715.0,0,C,5,2,0,10+ years,0,0
8.9,6.0,6.409090909,5,0,0.0,57.69230769,18514.0,903.6363636,774.5454545,0,A,3,0,1,10+ years,4,0
4.788,5.0,9.204545455,3,0,0.0,42.6,20707.0,875.0,750.0,0,A,3,1,0,6 years,0,0
12.79,10.0,15.57818182,15,0,0.0,30.46153846,14016.15385,710.6060606,609.0909091,0,C,3,1,2,< 1 year,0,0
10.637,6.0,15.80727273,4,0,0.0,58.89230769,16084.92308,689.3939394,636.3636364,0,B,3,1,0,10+ years,0,0
15.741,4.0,4.243636364,9,1,1.0,17.01538462,1527.076923,650.0,600.0,0,C,5,2,1,10+ years,0,0
11.49,4.0,2.227272727,4,0,0.0,34.7,5082.0,805.0,690.0,0,B,3,1,1,2 years,4,0
20.064,6.0,22.93090909,9,1,1.0,88.61538462,18810.0,750.0,600.0,0,D,3,2,0,,0,0
14.33,3.0,21.22363636,8,0,0.0,93.34615385,3433.846154,705.6818182,564.5454545,0,C,3,1,1,4 years,0,0
12.897,4.0,24.5,18,0,0.0,69.1,27758.76923,689.3939394,636.3636364,0,C,5,1,1,3 years,0,0
20.889,3.0,37.56,8,0,0.0,69.57692308,13980.0,906.8181818,725.4545455,0,E,3,2,2,,0,0
6.489,8.0,29.72454545,24,0,0.0,48.34615385,31375.07692,779.5454545,668.1818182,0,A,3,1,2,< 1 year,0,0
17.091,3.0,23.14,6,2,0.0,108.7692308,5049.0,770.0,660.0,0,D,3,1,1,10+ years,0,1
15.291,3.0,29.40909091,6,0,0.0,82.3,21566.53846,799.1666667,685.0,0,D,5,0,0,10+ years,0,0
12.62,4.0,36.76363636,10,0,0.0,29.26153846,7252.0,706.3636364,605.4545455,0,C,3,0,1,,0,0
12.69,3.0,27.45,17,0,0.0,8.615384615,3976.615385,939.1666667,805.0,0,C,5,2,0,3 years,0,1
6.615,8.0,20.71636364,11,0,0.0,58.26923077,10645.0,602.7272727,556.3636364,0,A,3,2,0,3 years,0,0
6.291,8.0,14.95454545,10,1,0.0,53.09230769,53312.0,672.9545455,576.8181818,0,A,3,1,0,1 year,4,0
17.171,4.0,14.13636364,7,0,0.0,73.9,13693.07692,837.5,670.0,0,D,5,2,1,10+ years,4,1
15.939,14.0,12.99272727,21,0,0.0,73.66153846,47656.0,675.0,540.0,0,C,5,1,0,10+ years,4,1
10.923,4.0,4.327272727,4,0,0.0,46.5,4550.0,650.0,600.0,0,B,3,0,1,2 years,0,0
14.193,4.0,16.17818182,6,0,0.0,103.3846154,21223.0,780.0,720.0,0,D,5,0,0,4 years,0,0
9.99,2.0,15.68727273,7,1,1.0,41.9,6538.0,825.0,660.0,0,B,3,1,0,8 years,0,0
12.744,2.0,8.09,3,0,0.0,49.47692308,2917.846154,839.0909091,774.5454545,0,C,3,0,2,4 years,8,0
17.091,3.0,22.77818182,9,0,0.0,62.13846154,11990.46154,865.4545455,741.8181818,0,D,3,1,1,< 1 year,4,1
19.99,4.0,21.66545455,10,1,1.0,26.19230769,2249.0,752.9166667,695.0,0,E,5,1,1,5 years,0,0
13.185,9.0,29.27,14,1,1.0,99.34615385,8354.0,770.0,660.0,0,C,3,0,1,10+ years,0,0
12.591,3.0,15.85,8,0,0.0,98.88461538,13350.0,684.469697,631.8181818,0,C,5,1,0,10+ years,0,1
10.791,5.0,10.68181818,10,0,0.0,40.3,5507.384615,770.0,660.0,0,B,3,0,0,3 years,0,0
5.841,6.0,26.47,13,0,0.0,29.19230769,23802.69231,915.8333333,785.0,0,A,3,1,0,10+ years,0,0
14.391,8.0,15.24,22,0,0.0,14.86153846,5449.846154,687.2727273,589.0909091,0,C,3,1,0,10+ years,0,0
13.49,5.0,11.41,10,1,0.0,76.67692308,17638.92308,668.1818182,572.7272727,0,C,5,1,0,8 years,3,0
10.076,12.0,20.98636364,17,0,0.0,72.69230769,28251.92308,593.8636364,548.1818182,0,B,3,2,0,10+ years,2,0
8.239,5.0,15.38181818,11,0,0.0,20.03076923,4607.307692,753.4090909,695.4545455,3,A,3,0,2,10+ years,0,0
11.691,3.0,20.81454545,6,0,0.0,86.42307692,14237.0,912.5,730.0,3,C,3,1,1,4 years,3,0
17.171,1.0,1.75,5,0,0.0,76.03076923,6310.769231,878.1818182,752.7272727,0,D,5,2,0,10+ years,0,0
19.327,6.0,12.96,11,1,0.0,49.10769231,10949.53846,810.8333333,695.0,5,D,5,1,0,< 1 year,0,0
12.88,4.0,11.34545455,6,0,0.0,83.16923077,14843.23077,920.4545455,736.3636364,0,C,3,0,0,10+ years,0,0
13.33,10.0,14.95454545,11,1,1.0,16.15384615,2022.461538,767.0454545,613.6363636,3,C,3,2,1,10+ years,0,0
16.77,,23.04,12,0,0.0,64.61538462,18492.92308,875.0,700.0,1,D,5,2,0,5 years,0,0
8.69,9.0,9.59,14,0,0.0,20.03076923,12530.76923,916.3636364,785.4545455,3,A,3,1,0,9 years,0,0
11.061,5.0,5.94,9,2,0.0,48.0,16018.84615,887.5,710.0,0,C,3,0,0,10+ years,4,0
10.087,3.0,10.36,8,2,2.0,8.076923077,1024.0,585.0,540.0,1,B,3,1,1,< 1 year,0,0
7.89,8.0,10.91818182,18,0,0.0,11.1,6332.0,927.2727273,741.8181818,3,A,3,0,1,2 years,2,0
5.841,5.0,8.64,11,0,0.0,46.61538462,37053.0,686.9318182,634.0909091,3,A,3,0,0,10+ years,0,0
15.378,4.0,22.01454545,6,0,0.0,94.26923077,9140.769231,585.0,540.0,0,C,3,0,0,< 1 year,0,1
16.416,4.0,13.55727273,15,1,1.0,23.07692308,4690.0,916.3636364,785.4545455,2,D,5,2,0,10+ years,0,0
11.754,9.0,18.40909091,23,0,0.0,21.75384615,8119.615385,937.5,750.0,3,C,3,0,0,,0,0
5.852,6.0,9.973636364,12,0,0.0,45.5,13018.84615,906.25,725.0,3,A,3,0,0,10+ years,2,0
17.919,1.0,11.42727273,5,1,1.0,65.6,2426.0,747.5,690.0,1,C,3,1,0,10+ years,0,0
12.681,,13.03636364,11,0,0.0,92.65384615,39175.0,710.7954545,568.6363636,3,B,3,0,0,1 year,12,0
12.897,6.0,15.16,10,0,0.0,54.27692308,18181.0,799.1666667,685.0,3,C,3,0,1,10+ years,4,0
24.99,3.0,3.829090909,4,0,0.0,54.6,6909.230769,705.6818182,564.5454545,0,F,5,1,0,5 years,0,0
14.839,,18.74,14,0,0.0,28.98461538,26859.53846,746.5909091,597.2727273,4,C,5,2,0,9 years,2,0
10.791,8.0,21.73909091,12,0,0.0,63.11538462,13071.0,910.0,780.0,0,B,3,1,1,< 1 year,0,0
10.791,5.0,19.53636364,8,0,0.0,61.9,14072.30769,731.8181818,627.2727273,2,B,3,0,1,3 years,0,0
7.9,5.0,20.24545455,10,0,0.0,60.7,5155.384615,664.7727273,613.6363636,1,A,3,2,0,7 years,0,0
11.44,9.0,7.79,20,1,0.0,25.66153846,6664.615385,721.2121212,618.1818182,0,B,3,2,0,10+ years,5,1
16.99,3.0,12.61636364,5,0,0.0,72.0,11884.61538,694.3181818,640.9090909,0,D,3,2,1,,0,1
7.371,11.0,15.74,14,0,0.0,62.0,15355.84615,690.3409091,552.2727273,0,A,3,2,1,10+ years,0,1
