total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
24.66,3,26.85,32.05,3,4,13,1,1,0,1.5,0,10.34,0.13,56.25,0,2,3.93,0
23.93435805364761,3,29.81423854507261,23.754271138320334,3,1,12,10,0,3,2.859463391605981,0,23.868190363317115,1.0883358527383946,32.070438828650836,0,0,0.0,1
33.63957762895033,5,50.25542789181774,26.780651470604486,5,2,11,5,0,3,0.7136911518155967,0,14.132834981972756,1.3462364196497532,71.18641749098637,0,0,0.0,1
60.9755850633351,3,18.529647385279127,61.30888664552865,2,2,11,5,0,0,2.436369141624478,1,23.15075821597021,3.970813726278937,62.86804705693055,0,0,0.0,1
40.43,3,63.22,51.4,5,4,4,4,0,4,3.15,0,24.14,1.57,33.37,0,0,0.0,0
17.03,3,26.92,15.84,2,2,10,6,1,0,0.61,0,12.07,1.65,41.7,0,0,0.0,1
73.39,5,60.45,55.95,4,1,8,1,0,4,3.4,0,24.14,2.99,49.44,0,0,0.0,0
10.96,3,20.06,8.83,2,5,6,10,1,0,1.03,0,15.52,0.61,32.77,0,2,6.25,0
13.268256757880321,3,31.995104505512064,15.398047746856193,3,1,2,9,0,0,2.529776243452146,1,31.43566015244842,0.8360388531000809,28.41625769447336,0,0,0.0,1
43.255721149006334,5,23.293092061578914,27.628846010672895,2,4,11,10,0,0,1.8898581346217056,0,33.104184274074804,3.543943253848682,51.024255206763954,0,0,0.0,1
67.10406508793889,3,18.719254415094387,71.9999155221398,2,4,13,8,0,0,1.9892160840697495,0,14.731988725101589,6.59074949281107,77.25012987666581,0,0,0.0,1
22.78310866154021,3,50.68869317185537,24.49897418747241,4,0,3,1,0,0,1.2201538307531297,0,16.035385721399884,0.6780374687489389,26.74822710152775,0,0,0.0,1
40.51,5,42.16,28.35,4,4,13,2,1,0,1.56,0,8.62,0.38,24.68,0,2,43.95,0
92.17,5,43.98,63.98,3,1,2,1,0,0,3.93,0,17.24,2.62,65.05,1,0,0.0,0
