total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
19.77,3,3.67,18.37,1,4,13,4,1,9,0.39,0,13.79,0.5,5.14,0,0,0.0,0
22.41,3,19.05,19.19,2,4,11,3,0,0,0.89,0,18.97,0.78,22.14,0,0,0.0,0
40.51,5,7.95,30.88,1,3,4,8,1,0,0.57,0,17.24,1.17,13.6,0,2,50.29,0
67.12,3,23.15,68.51,2,5,11,1,2,0,1.23,0,12.07,2.67,35.71,0,0,0.0,0
87.28,5,27.09,51.61,3,2,10,4,2,4,1.78,0,36.21,8.95,36.51,0,0,0.0,1
23.68,3,26.92,20.31,2,0,13,1,0,0,1.87,1,12.07,1.47,74.55,0,2,2.18,0
17.61,3,0.03,16.33,1,4,10,8,0,0,2.02,0,17.24,2.92,57.86,0,3,13.27,0
7.14,3,33.02,5.95,2,3,11,0,1,3,2.03,0,22.41,1.51,35.8,0,1,4.74,0
15.85,3,21.27,20.15,2,4,2,1,1,0,1.48,0,24.14,0.87,52.81,0,1,10.74,0
10.83,3,39.88,10.12,4,5,3,5,1,4,3.17,0,18.97,0.92,50.51,0,0,5.99,0
21.72,3,36.34,21.13,3,4,3,1,0,2,0.87,0,3.45,0.82,70.63,0,1,14.77,0
18.98,3,24.7,24.47,3,3,6,10,1,4,2.4,0,39.66,1.16,63.6,0,3,0.3,0
33.46,3,12.37,36.44,1,2,3,2,1,0,0.6,0,8.62,0.85,61.15,0,0,38.43,0
18.08,3,43.8,19.11,5,4,3,9,0,0,0.92,1,8.62,0.39,25.45,0,0,0.0,1
17.06,3,28.36,14.87,3,4,5,6,0,2,1.29,0,17.24,1.02,23.72,0,2,13.31,0
38.94,3,17.97,33.56,2,4,2,11,0,0,0.47,0,8.62,0.88,34.29,0,1,17.8,0
37.72,5,34.97,30.5,3,4,3,1,1,5,0.95,0,5.17,0.69,55.3,1,2,1.35,0
