interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use,labels
57.23,33.33,2.25,29.31,8.33,20.0,36.89,1.46,43.89,32.35,20.0,4,3,1,1,2,0,0
59.15,15.15,2.09,12.07,0.0,0.0,43.13,0.44,11.89,16.18,0.0,6,5,1,2,1,0,0
21.0,21.21,2.18,20.69,0.0,0.0,11.07,0.28,17.39,1.1,20.0,2,3,1,2,1,0,0
22.91,27.27,1.3,27.59,16.67,0.0,40.56,2.85,26.75,36.4,0.0,2,5,0,0,1,4,0
25.03,12.12,2.49,8.62,8.33,20.0,63.83,0.96,37.82,51.47,60.0,2,3,2,2,11,2,0
38.82,15.15,2.12,13.79,25.0,0.0,56.29,0.97,22.0,17.4,100.0,3,5,0,1,0,4,0
22.81,9.09,1.07,15.52,16.67,20.0,43.93,0.75,58.85,50.0,60.0,2,3,1,1,3,2,0
10.69,18.18,2.4,29.31,0.0,0.0,67.68,2.94,47.32,36.4,0.0,1,3,2,1,2,0,0
8.8,9.09,1.02,20.69,8.33,20.0,81.31,0.53,32.25,18.63,60.0,1,3,0,0,6,4,0
12.33,9.09,1.47,12.07,0.0,0.0,44.69,2.2,4.05,5.51,0.0,2,3,2,0,10,4,0
25.71,36.36,1.86,27.59,0.0,0.0,55.38,3.13,18.19,24.75,0.0,3,3,2,1,11,4,0
59.73,21.21,1.11,15.52,8.33,20.0,74.43,2.02,30.17,16.18,0.0,5,5,1,0,1,0,0
21.27,24.24,1.31,15.52,0.0,0.0,71.94,1.92,24.76,33.7,0.0,2,3,0,1,4,0,0
30.31,9.09,1.36,18.97,0.0,0.0,20.18,1.73,36.2,49.26,80.0,3,5,1,0,9,0,0
7.98,12.12,1.23,13.79,0.0,0.0,22.47,0.95,25.39,34.56,60.0,1,3,1,0,7,5,0
29.28,12.12,1.1,12.07,0.0,0.0,50.36,0.41,32.25,18.63,0.0,3,3,0,1,0,8,1
12.34,6.06,0.64,12.07,0.0,0.0,30.71,1.76,38.49,38.24,20.0,1,3,2,0,3,0,0
61.8,24.24,1.1,13.79,0.0,0.0,47.45,1.88,48.96,51.47,60.0,5,3,2,1,8,0,0
14.11,12.12,1.55,22.41,0.0,0.0,28.7,3.23,41.3,41.79,60.0,1,3,2,1,3,0,0
11.65,12.12,1.28,12.07,0.0,0.0,61.15,1.13,0.81,1.1,60.0,2,3,1,1,0,4,0
12.88,21.21,1.83,17.24,0.0,0.0,36.96,1.47,57.11,61.76,0.0,2,3,1,1,3,0,0
14.45,18.18,2.01,18.97,0.0,0.0,39.6,1.44,48.96,51.47,0.0,2,3,0,1,1,4,0
11.34,9.09,1.11,12.07,0.0,0.0,5.31,0.05,62.93,69.12,0.0,2,3,2,0,11,2,0
31.75,21.21,1.64,20.69,0.0,0.0,38.72,1.36,1.62,2.21,0.0,3,5,2,1,3,4,0
29.35,9.09,2.28,10.34,0.0,0.0,39.03,1.45,38.1,37.75,0.0,3,5,0,0,1,0,0
16.75,15.15,1.33,12.07,0.0,0.0,38.04,0.53,50.75,40.44,60.0,2,3,0,1,1,4,0
31.75,33.33,1.63,20.69,8.33,20.0,40.18,1.29,31.7,43.14,0.0,3,5,2,0,9,0,0
8.85,21.21,1.72,13.79,0.0,0.0,52.65,1.75,9.98,2.21,60.0,2,3,0,1,2,0,0
55.52,15.15,1.38,10.34,0.0,0.0,69.29,1.5,2.43,3.31,0.0,5,5,2,1,0,0,1
30.17,12.12,2.02,13.79,0.0,0.0,77.1,1.46,29.72,40.44,0.0,3,3,0,1,2,4,1
28.12,3.03,0.62,12.07,8.33,20.0,0.54,0.0,37.82,51.47,60.0,3,3,0,0,1,2,0
11.07,18.18,1.39,15.52,0.0,0.0,22.58,2.99,5.67,7.72,0.0,1,3,1,0,10,3,0
14.95,15.15,2.01,12.07,0.0,0.0,64.73,1.42,54.78,58.82,60.0,2,3,0,0,5,2,0
20.59,9.09,0.86,5.17,0.0,0.0,62.95,0.84,51.29,54.41,60.0,2,3,1,1,0,4,0
29.03,12.12,2.12,13.79,8.33,20.0,54.38,1.12,43.89,32.35,0.0,3,3,1,1,5,0,1
52.2,18.18,3.18,18.97,0.0,0.0,63.14,1.49,60.1,51.47,20.0,5,3,1,1,3,0,0
26.85,27.27,5.61,18.97,0.0,0.0,68.4,5.69,26.85,23.53,0.0,3,3,2,0,11,0,1
36.34,9.09,2.96,5.17,0.0,0.0,66.79,0.49,30.17,16.18,60.0,3,3,0,1,2,0,0
10.65,9.09,1.05,53.45,0.0,0.0,31.99,1.48,54.18,44.49,20.0,1,5,2,0,1,0,0
18.74,27.27,0.96,17.24,0.0,0.0,28.39,1.89,38.9,52.94,60.0,2,3,1,3,1,6,0
15.97,6.06,0.92,5.17,0.0,0.0,76.52,0.36,0.0,0.0,20.0,2,3,1,0,8,0,0
34.26,18.18,2.97,17.24,16.67,0.0,54.91,1.5,68.83,61.76,0.0,3,3,2,1,2,10,0
9.97,18.18,1.07,12.07,0.0,0.0,65.43,4.41,21.03,16.18,40.0,1,3,0,1,10,4,0
37.09,6.06,1.66,10.34,0.0,0.0,81.7,4.04,17.39,1.1,0.0,3,3,1,1,0,5,0
45.98,27.27,1.72,18.97,0.0,0.0,27.55,2.0,13.69,18.63,0.0,4,3,1,1,8,0,0
5.0,6.06,1.26,10.34,0.0,0.0,2.32,0.09,34.4,46.81,0.0,1,3,0,0,11,4,0
15.62,18.18,2.37,25.86,0.0,0.0,51.28,4.28,29.72,40.44,60.0,2,3,2,0,11,4,0
40.52,36.36,2.68,39.66,8.33,20.0,16.84,1.71,4.86,6.62,0.0,3,3,1,1,3,0,0
42.44,15.15,3.23,17.24,0.0,0.0,84.07,4.52,35.66,48.53,0.0,4,5,2,0,1,4,1
13.73,42.42,1.52,37.93,0.0,0.0,14.46,3.16,78.8,73.53,40.0,1,5,1,0,9,0,0
7.98,12.12,1.1,6.9,0.0,0.0,67.06,1.68,22.07,6.62,60.0,1,3,0,1,2,4,0
61.51,33.33,2.61,25.86,0.0,0.0,56.15,3.82,35.37,22.3,0.0,5,5,1,0,2,0,0
23.05,15.15,1.33,15.52,0.0,0.0,84.18,1.04,31.21,17.4,60.0,3,3,1,1,11,0,0
11.9,6.06,1.42,5.17,0.0,0.0,95.57,2.75,33.29,19.85,0.0,2,3,1,0,0,4,0
11.9,9.09,0.53,8.62,8.33,0.0,62.51,0.71,22.97,18.63,0.0,2,3,1,0,1,8,0
31.75,12.12,1.48,20.69,0.0,0.0,82.33,5.76,71.32,64.71,40.0,3,5,1,2,1,4,0
3.64,27.27,1.27,22.41,0.0,0.0,30.38,3.15,30.73,28.43,0.0,1,3,0,2,11,4,0
22.81,30.3,2.91,31.03,8.33,20.0,27.17,2.66,28.79,25.98,20.0,2,3,0,1,2,0,0
19.23,9.09,2.84,8.62,0.0,0.0,22.22,0.67,21.13,5.51,60.0,2,3,0,0,10,4,0
28.79,33.33,2.55,25.86,8.33,0.0,51.79,2.25,24.76,33.7,100.0,3,5,2,2,1,4,0
26.75,15.15,2.5,18.97,0.0,0.0,32.32,1.77,33.68,45.83,0.0,3,3,0,0,4,2,1
36.34,15.15,3.19,17.24,0.0,0.0,39.55,4.18,60.6,66.18,60.0,3,5,0,0,6,0,0
36.34,12.12,2.01,15.52,0.0,0.0,59.31,1.12,3.24,4.41,60.0,3,3,1,1,2,0,0
51.4,39.39,1.0,27.59,0.0,0.0,65.82,6.44,21.03,16.18,40.0,4,5,1,1,0,0,0
24.72,12.12,1.85,8.62,0.0,0.0,54.87,1.3,2.43,3.31,0.0,3,3,2,0,11,0,0
14.67,3.03,1.16,8.62,8.33,20.0,13.58,0.14,46.18,35.05,60.0,2,3,0,0,4,0,0
57.17,30.3,1.23,36.21,0.0,0.0,14.85,1.0,51.89,41.79,20.0,5,3,1,1,1,0,0
22.9,18.18,1.86,18.97,0.0,0.0,89.92,6.97,38.9,52.94,40.0,3,3,0,0,1,0,0
41.31,24.24,1.48,15.52,0.0,0.0,87.5,0.71,47.8,50.0,0.0,3,3,1,1,1,0,1
53.72,9.09,1.77,6.9,0.0,0.0,71.65,0.63,43.23,58.82,0.0,5,5,2,2,7,1,1
27.74,18.18,2.9,25.86,0.0,0.0,44.29,1.69,57.61,48.53,60.0,3,3,1,1,1,0,0
28.53,18.18,2.09,17.24,0.0,0.0,58.09,1.36,34.33,21.08,20.0,2,3,0,1,0,0,0
27.09,15.15,0.91,12.07,0.0,0.0,57.95,1.4,4.05,5.51,0.0,3,3,2,1,7,0,0
58.98,30.3,0.85,18.97,0.0,0.0,46.35,1.46,52.45,55.88,40.0,4,5,1,1,1,0,0
41.1,9.09,1.51,25.86,0.0,0.0,78.76,2.27,20.2,4.41,0.0,3,3,2,1,2,12,0
23.67,33.33,1.43,37.93,0.0,0.0,42.02,1.75,12.59,5.51,60.0,3,3,0,1,6,0,0
34.97,12.12,3.12,10.34,8.33,20.0,31.09,0.8,68.83,61.76,0.0,3,3,2,1,11,0,1
14.11,18.18,1.7,15.52,0.0,0.0,45.43,1.56,58.27,63.24,60.0,1,3,0,1,7,4,0
5.86,15.15,1.98,10.34,0.0,0.0,15.4,20.13,22.69,30.88,60.0,1,3,1,2,11,4,0
25.21,12.12,1.49,13.79,0.0,0.0,15.26,0.45,17.83,12.13,60.0,3,3,1,1,6,5,0
48.01,6.06,0.06,22.41,0.0,0.0,7.37,0.06,17.39,1.1,0.0,4,3,0,1,1,5,1
26.75,6.06,0.62,6.9,0.0,0.0,7.65,0.4,33.29,19.85,20.0,3,3,1,2,1,2,0
19.56,6.06,1.09,13.79,0.0,0.0,62.6,0.55,0.81,1.1,60.0,2,3,1,0,10,0,0
38.11,9.09,2.1,10.34,0.0,0.0,80.55,2.28,34.33,21.08,40.0,3,5,0,0,1,0,0
14.42,6.06,0.86,10.34,0.0,0.0,34.16,1.05,49.83,52.57,100.0,2,5,2,1,6,0,0
28.2,21.21,2.55,24.14,8.33,20.0,57.54,2.1,37.82,51.47,0.0,3,3,2,1,7,0,1
70.77,39.39,0.88,36.21,8.33,20.0,53.39,5.03,26.75,36.4,0.0,6,5,2,0,5,4,0
28.8,6.06,0.16,6.9,0.0,0.0,33.93,0.19,48.46,37.75,60.0,2,3,2,2,1,0,0
15.04,18.18,1.25,13.79,0.0,0.0,66.82,3.85,30.71,41.79,60.0,2,3,1,0,1,4,0
17.51,6.06,2.54,5.17,0.0,0.0,32.14,0.8,57.27,77.94,60.0,2,3,0,1,8,0,0
14.49,39.39,2.81,32.76,0.0,0.0,22.47,4.51,76.31,70.59,0.0,1,3,2,0,11,0,0
89.76,15.15,3.67,22.41,0.0,0.0,30.23,1.47,9.73,13.24,0.0,7,5,2,1,3,0,1
20.36,30.3,1.51,22.41,0.0,0.0,57.21,5.47,29.72,40.44,0.0,2,3,0,1,1,0,0
37.79,9.09,2.06,6.9,8.33,20.0,36.73,0.48,18.33,2.21,40.0,4,5,2,1,4,0,0
58.91,15.15,0.82,18.97,16.67,20.0,38.72,1.32,15.21,8.82,0.0,5,5,2,2,6,5,1
7.95,12.12,1.68,8.62,8.33,20.0,64.67,0.92,42.14,57.35,60.0,1,3,2,1,8,0,0
49.87,9.09,2.74,15.52,16.67,0.0,53.72,1.77,22.0,17.4,60.0,4,3,2,1,6,2,0
17.51,15.15,1.34,17.24,0.0,0.0,33.91,12.93,48.77,51.23,40.0,2,5,0,0,1,5,0
37.79,15.15,1.57,25.86,8.33,20.0,33.93,0.25,41.06,55.88,60.0,4,3,0,1,6,6,0
18.18,30.3,1.9,20.69,0.0,0.0,71.71,13.16,29.76,27.21,0.0,2,3,0,0,8,8,0
38.11,9.09,2.29,8.62,0.0,0.0,69.29,1.06,47.32,36.4,0.0,3,3,1,2,2,0,1
7.95,18.18,1.38,15.52,0.0,0.0,35.32,2.36,36.65,49.88,0.0,1,3,1,0,8,2,0
25.72,36.36,2.14,34.48,0.0,0.0,38.64,3.1,16.46,0.0,0.0,3,3,1,1,4,0,0
17.26,12.12,1.83,10.34,8.33,20.0,13.47,0.76,35.97,35.05,40.0,2,3,1,0,1,0,0
31.51,18.18,1.3,18.97,8.33,20.0,61.03,1.1,35.97,35.05,60.0,3,3,2,1,1,0,0
23.05,6.06,1.17,17.24,0.0,0.0,26.86,1.09,20.89,28.43,0.0,3,5,1,2,7,3,0
30.45,18.18,1.71,29.31,0.0,0.0,34.29,2.61,16.08,9.93,60.0,3,5,1,0,2,0,0
25.72,12.12,1.05,13.79,0.0,0.0,81.6,2.08,70.07,63.24,40.0,3,3,0,0,1,0,0
48.05,15.15,2.13,10.34,0.0,0.0,84.38,2.38,21.03,16.18,60.0,3,3,2,1,8,9,0
36.46,24.24,0.85,17.24,0.0,0.0,59.39,2.32,3.24,4.41,0.0,4,5,1,0,2,0,1
36.34,18.18,0.67,15.52,0.0,0.0,65.66,1.0,11.89,16.18,0.0,3,3,2,1,3,0,0
10.98,9.09,0.27,5.17,0.0,0.0,33.39,0.75,37.64,51.23,40.0,1,3,0,1,2,0,0
38.68,9.09,3.32,17.24,0.0,0.0,33.66,1.43,29.76,27.21,0.0,4,3,1,0,2,0,0
55.52,12.12,0.29,10.34,16.67,40.0,1.22,0.03,24.91,21.08,20.0,5,3,2,2,11,2,1
15.04,12.12,0.87,8.62,8.33,20.0,53.57,0.96,8.23,0.0,40.0,2,3,0,0,9,4,0
41.82,6.06,2.52,13.79,0.0,0.0,46.91,0.74,9.98,2.21,0.0,4,3,2,0,5,0,1
9.59,33.33,2.36,24.14,0.0,0.0,18.07,2.97,75.73,85.29,60.0,1,3,0,0,1,4,1
0.03,6.06,1.27,20.69,0.0,0.0,6.12,0.47,25.81,11.03,0.0,1,3,1,0,11,4,1
30.68,6.06,2.89,17.24,0.0,0.0,8.48,0.32,23.07,18.75,60.0,2,3,2,1,1,0,0
36.34,9.09,1.46,10.34,0.0,0.0,13.93,1.0,23.07,18.75,60.0,3,3,2,1,10,0,0
61.51,15.15,2.35,13.79,8.33,0.0,39.51,1.84,41.06,55.88,80.0,5,5,2,1,0,0,0
36.67,18.18,0.91,12.07,0.0,0.0,64.09,1.02,9.1,1.1,60.0,3,3,0,1,6,0,0
29.8,12.12,1.55,13.79,8.33,20.0,79.02,1.65,58.85,50.0,60.0,3,3,0,0,5,0,0
41.82,3.03,1.24,13.79,0.0,0.0,50.98,1.07,30.17,16.18,60.0,4,3,2,1,10,5,0
