total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
64.0,5,57.58,48.39,6,3,2,1,0,0,1.07,0,12.07,3.47,83.13,0,3,56.92,0
27.59,3,3.67,28.59,1,4,0,3,0,4,0.61,0,17.24,2.79,47.83,0,1,33.25,0
9.0,3,20.41,9.0,2,4,1,1,0,4,1.67,0,20.69,2.07,56.71,0,0,0.0,1
13.5,3,4.28,10.33,1,3,2,4,0,2,1.47,0,12.07,0.26,18.9,0,3,1.33,0
17.81,3,7.14,18.65,1,1,3,6,1,0,0.54,0,17.24,1.0,16.25,0,3,18.84,0
25.93,5,43.8,23.12,5,4,7,1,0,0,3.24,0,17.24,2.87,41.29,0,0,0.0,1
34.33320690493245,3,40.60898695193593,48.56306872517254,3,3,5,7,1,0,2.798147337708849,0,12.087754680290193,0.6619041251325715,33.92981319394703,0,0,0.0,1
12.17437901718484,3,29.992738016290495,16.290589599036416,3,3,1,11,0,0,2.357326258666949,0,15.622083388596653,1.2206314440747406,30.156653723253868,0,0,0.0,1
33.86,3,17.51,29.04,2,4,1,5,1,0,1.42,1,37.93,1.56,55.18,0,2,12.73,0
15.767566402869212,4,33.0806401314336,13.96960354182966,3,0,3,4,0,11,1.5800391757492394,0,18.157440256853672,0.9417370524123017,39.435541800766465,0,0,0.0,1
2.76,3,22.81,2.63,2,4,2,1,0,5,0.78,4,32.76,0.86,21.28,0,0,0.0,1
5.28,3,19.02,4.65,2,4,8,5,0,0,2.28,1,20.69,1.53,53.95,0,1,3.38,0
4.7,3,27.07,4.65,2,4,13,11,2,0,3.2,0,25.86,0.59,13.58,0,2,3.71,0
33.46,3,3.64,29.13,1,4,1,1,0,0,2.7,2,15.52,1.68,45.85,0,0,0.0,0
47.03700663711202,3,12.934133492043173,48.53648199598065,1,3,2,2,0,4,0.5828119556382579,0,24.078122003959805,3.180527088708597,33.01208143148493,0,0,0.0,1
10.190847393789552,3,22.621745031898392,11.60919160105858,3,3,1,3,1,1,1.9286396701482547,1,23.703991750387818,0.780085489343699,38.74469441425601,0,0,0.0,1
1.17,3,33.85,1.38,3,3,10,8,2,5,3.21,1,17.24,1.26,36.93,0,1,0.82,0
45.21,3,14.24,50.44,2,0,5,1,2,0,1.94,0,8.62,0.75,26.88,0,1,51.91,0
33.46,3,8.85,29.92,2,5,6,2,0,0,1.68,0,8.62,1.64,75.63,0,3,28.7,0
7.14,3,11.65,5.4,2,4,13,11,1,0,2.73,0,12.07,0.38,17.98,0,0,2.26,0
7.14,3,27.07,5.77,2,4,0,8,1,0,2.21,0,15.52,10.03,23.79,0,1,0.62,0
65.44014406228536,5,37.54954756371715,51.18441684982014,4,2,6,2,0,1,2.5357272124652246,0,25.148357971731087,4.671273450417308,72.9998860396417,0,0,0.0,1
39.07700660237365,5,63.25788217113428,36.90498527446288,5,4,4,1,1,0,2.5687221933769817,0,21.437120363515433,1.8580203140508769,57.82176942385238,0,0,0.0,1
29.94,3,7.95,36.15,1,4,3,3,0,4,3.26,0,20.69,2.51,67.86,0,0,0.0,0
1.7124439492632808,3,12.914021398232773,0.8766796901981126,1,4,3,8,0,4,1.803941064766292,0,24.14,0.5694267143562156,12.46515884003479,0,0,0.32745198260992847,1
40.22,5,40.1,29.41,3,4,4,4,1,0,2.06,1,46.55,2.07,48.13,0,1,38.14,0
33.46,3,35.05,44.1,3,4,1,4,0,0,1.62,4,17.24,0.42,43.93,0,0,0.0,0
13.89,3,37.02,16.91,4,1,1,7,1,0,2.96,0,15.52,0.74,38.04,0,0,0.0,0
59.59,5,63.22,50.83,5,4,13,1,0,0,3.4,1,25.86,3.24,53.31,0,0,0.0,0
15.08748861413641,3,50.08290500981166,14.492644762481628,4,1,1,4,0,1,1.8110442420091446,0,10.618845152835991,0.5608002602362419,46.38652895260192,0,0,0.0,1
7.05,3,32.61,9.58,3,4,2,5,0,5,1.57,0,22.41,0.67,26.61,0,0,0.0,0
14.330431373024984,3,12.593055704462204,12.178466132221011,1,4,2,3,0,1,2.911638703261291,1,12.80967496634429,4.858472147768898,73.94737566856278,0,0,0.0,1
54.1612516564898,5,28.356750993893883,35.824453098699394,3,2,7,1,0,2,1.9568106875496147,0,19.750205417785118,5.310649610193166,58.51198521985711,0,0,0.0,1
