interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use,labels
21.522608782251908,25.833855167047165,2.312521126301254,21.294928528747274,0.0,0.0,41.88872124580889,1.8458036613871327,46.06890687188659,47.82161992575681,0.0,2,3,0,0,2,2,1
11.9,9.09,2.64,8.62,0.0,0.0,73.04,1.4,42.64,30.88,60.0,2,3,0,2,1,5,0
27.374137438420522,17.248329558421787,1.3868294872944897,14.723621635746678,0.0,0.0,63.45792944461811,1.5762590030398993,25.28348493179481,21.546669114895508,0.0,2,4,1,0,8,0,1
4.96,18.18,2.74,12.07,8.33,20.0,27.86,0.66,46.63,48.53,60.0,1,3,1,1,11,4,0
12.88,6.06,1.6,15.52,0.0,0.0,30.42,0.83,75.06,69.12,0.0,2,3,2,2,11,0,0
50.47280200182678,12.369435932206182,2.533963046745285,10.38747240513935,25.228581002780803,40.0,51.68349290372863,0.4020739065094302,57.30870115119649,48.53,0.0,4,3,1,0,1,4,1
22.907820359971197,45.54478276285095,2.4180929313175037,29.417920967602562,0.0,0.0,67.85548887775374,5.199000261483012,30.234892500503815,40.27139303902092,0.0,2,3,0,0,0,0,1
16.77,9.09,1.69,12.07,0.0,0.0,40.46,1.3,34.33,21.08,0.0,2,3,0,1,1,4,1
26.92,9.09,2.11,18.97,0.0,0.0,81.89,0.75,41.3,41.79,0.0,2,3,0,1,8,4,0
22.825805236685746,13.091176841551347,1.6102769556101004,11.849780224286288,16.67,20.0,32.87294399113288,0.5686546430240565,27.04188742898159,18.494120832684224,60.0,2,3,1,0,0,0,1
6.29,18.18,1.17,10.34,0.0,0.0,23.46,1.15,16.21,22.06,60.0,1,3,0,0,8,5,0
63.44916454002132,18.83296459366315,1.9470700080462742,12.81347453733923,0.0,0.0,38.6774704371809,0.7719850174335943,21.612100241388227,14.600656742018375,0.0,5,3,1,1,11,1,1
47.64,36.36,3.54,39.66,0.0,0.0,37.5,7.3,21.79,29.66,20.0,4,5,2,0,8,0,0
50.91,12.12,1.15,8.62,8.33,20.0,63.67,0.85,43.89,32.35,60.0,4,3,0,0,1,0,0
32.04,24.24,0.57,22.41,0.0,0.0,37.96,1.85,60.1,51.47,20.0,2,3,0,1,2,4,0
24.73,6.06,0.62,5.17,8.33,20.0,39.2,0.47,62.59,54.41,0.0,2,3,1,0,3,0,1
15.04,24.24,1.28,20.69,8.33,20.0,63.84,2.31,17.39,1.1,0.0,2,3,0,1,10,0,0
25.14,33.33,0.99,18.97,0.0,0.0,62.47,1.89,54.78,58.82,0.0,2,3,1,1,10,0,1
34.45,18.18,1.69,13.79,0.0,0.0,67.68,2.11,20.2,4.41,40.0,3,3,1,1,3,5,0
22.27405760641568,16.535516460843503,2.0705553993697507,18.670563833403214,12.856400236490158,0.0,28.47451826066601,1.018333801890748,49.579824566483595,59.11984143455052,0.0,2,3,0,1,3,0,1
22.13,24.24,1.34,27.59,0.0,0.0,38.88,3.65,28.79,25.98,0.0,2,3,1,0,1,0,1
2.87,12.12,1.5,17.24,0.0,0.0,41.8,1.11,71.32,64.71,0.0,1,3,0,1,2,0,0
40.97,21.21,0.72,12.07,0.0,0.0,64.01,1.11,23.77,32.35,0.0,3,5,2,0,1,0,1
7.12,9.09,1.54,6.9,0.0,0.0,37.86,3.52,47.7,49.88,60.0,1,3,2,0,11,0,0
26.84,9.09,1.9,10.34,0.0,0.0,32.59,0.86,19.99,27.21,0.0,2,3,1,1,4,0,0
18.18,12.12,2.33,17.24,0.0,0.0,30.27,2.73,52.45,55.88,60.0,2,3,1,2,3,0,0
30.82,12.12,2.5,15.52,0.0,0.0,46.59,0.49,33.83,32.35,0.0,3,3,1,1,2,4,1
31.82,9.09,0.95,5.17,0.0,0.0,51.43,0.15,38.1,37.75,0.0,3,3,0,1,4,4,1
21.161690202486135,18.86586652523566,1.2871929784334584,18.97,0.0,0.0,43.497394088812385,2.1436114630822574,15.381690202486137,16.33757815171439,0.0,2,3,0,0,3,0,1
37.32768721595033,34.66410260540048,1.6911940422085776,22.663905116319345,8.33,20.0,67.63467742429374,1.9039553165643326,36.86788387705676,46.15532671557978,0.0,4,4,1,1,1,3,1
39.503548595559046,14.486342488153213,1.6741128511102374,13.631971038904517,8.33,20.0,56.136173132189995,0.9157283386517853,17.128336035846196,20.54337923959583,0.0,4,3,1,0,4,3,1
15.24,6.06,0.54,6.9,0.0,0.0,72.7,1.01,28.79,25.98,0.0,2,5,0,0,1,4,0
65.38,6.06,0.59,5.17,0.0,0.0,46.59,0.22,32.25,18.63,0.0,5,3,0,1,1,0,0
21.169058345652918,34.277281211881885,3.461306306597489,27.372636214804853,0.0,0.0,53.802976189706634,3.246016729810402,23.861218354590484,23.53,0.0,2,3,0,1,6,1,1
39.85,24.24,3.82,17.24,0.0,0.0,54.24,1.67,9.98,2.21,0.0,4,3,1,1,2,5,0
42.84843027977825,23.188260141275425,2.3587324210527307,18.539307196677026,0.0,0.0,46.523196728531545,3.21512415235452,40.03826877008192,34.44380101108051,0.0,3,5,2,0,1,4,1
12.325517646106674,14.613440471475931,2.045312470579446,38.530792238576836,11.761566589456976,28.229176473517928,28.277550352424086,0.7488541176324104,38.77014470243264,30.890981409322805,40.0,1,3,1,1,2,3,1
10.69,15.15,2.03,15.52,0.0,0.0,50.33,0.66,14.59,19.85,20.0,1,3,2,0,7,0,0
31.89,21.21,2.14,17.24,0.0,0.0,64.74,3.27,9.1,1.1,0.0,2,3,2,0,6,0,0
43.8,12.12,2.4,12.07,0.0,0.0,81.12,1.01,38.9,52.94,0.0,5,5,1,0,4,0,0
33.42042438756276,25.1840451279838,3.0688433951160463,18.851835025996543,0.865115062277785,0.0,45.190661983921906,1.1643903167601715,51.811776749037406,42.999795278022205,60.0,3,3,2,1,10,0,1
23.885373052037963,21.45665041339725,3.073953240776708,27.78915190310802,0.0,0.0,41.289761945242915,1.86290541689326,69.8945079205835,68.1798873605824,0.0,2,3,0,0,1,0,1
0.27536838633011945,27.3645885764097,2.0946930501684324,32.625453213093785,0.0,0.0,15.375326596826627,2.0655564390958334,35.42689853567836,47.98458920028804,0.0,1,3,0,0,0,0,1
49.82,9.09,2.2,8.62,0.0,0.0,55.63,2.11,41.06,55.88,0.0,4,3,1,0,8,4,0
21.599448901260537,16.147883751146495,1.0052727329022935,18.362534138009607,0.0,0.0,4.21266171465809,14.440639244843812,73.83649489324115,77.64279659546898,0.0,2,4,0,0,3,1,1
9.49,18.18,1.94,17.24,0.0,0.0,17.86,0.47,24.91,21.08,60.0,1,3,0,2,1,0,0
61.59092860695691,42.42,1.5448545695875537,33.67553800644277,0.0,0.0,56.98802658376197,5.911762083762366,37.54900746649607,48.758734841495,0.0,4,3,0,0,1,0,1
64.59,12.12,1.76,15.52,0.0,0.0,63.42,3.54,39.17,39.09,80.0,5,5,1,1,3,0,0
45.98,9.09,1.87,5.17,8.33,20.0,55.45,0.29,12.79,17.4,20.0,4,3,0,1,1,0,0
33.19,21.21,1.37,17.24,0.0,0.0,56.13,4.9,34.33,21.08,0.0,3,5,1,0,1,0,1
57.09,33.33,1.85,20.69,0.0,0.0,40.29,1.34,47.32,36.4,0.0,4,5,2,1,11,4,1
47.015670449774504,32.39881855702767,2.857417250098853,23.60833534774187,0.0,0.0,76.69906740856604,2.5893235069998815,25.061394060033347,21.271193529423556,0.0,4,3,1,0,2,5,1
41.146943004145925,12.888405710047257,3.297895916866402,11.424363346267617,0.0,0.0,47.82199315631277,1.1390476750232081,29.46893674820238,40.09764102027598,0.0,3,3,1,1,2,0,1
28.79,18.18,1.05,25.86,0.0,0.0,5.71,0.2,57.61,48.53,60.0,3,3,2,1,4,0,0
28.188045775328675,25.632014608785845,2.3224353542814686,22.146604496467365,0.0,0.0,50.038747341705715,1.4645760895507003,1.495959094266608,2.040018018069055,0.0,2,3,1,0,1,0,1
24.7,12.12,1.4,8.62,0.0,0.0,65.53,2.81,37.03,36.4,40.0,2,3,1,1,2,4,0
