loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon
1028396,228396,9090.909091,5,7.803,205.99,B,政府机构,金融业,2 years,1,0,2014/12/1,3,102,26,26.72727273,0,642.2727273,695.7954545,21,0,0.0,6558.461538,8.507692308,0,0,Mar-97,3,1,8.0,0.0,10.0,22.0,10.0,3,2951,295.1
1025186,225186,10000.0,3,13.11,337.47,B,普通企业,文化和体育业,1 year,1,0,2012/9/1,0,703,8,20.88,0,618.1818182,772.7272727,11,0,0.0,10584.0,70.06153846,1,0,1-Dec,38,1,6.0,0.0,10.0,9.0,8.0,1,1671,501.3
1032184,232184,15272.72727,3,10.341,461.6,B,普通企业,批发和零售业,8 years,0,0,2016/10/1,4,310,24,29.66181818,0,589.0909091,687.2727273,10,0,0.0,16474.61538,53.35384615,1,0,2-Dec,4,1,5.0,0.0,13.0,10.0,7.0,3,4624,462.4
1017423,217423,16545.45455,3,11.421,469.63,C,普通企业,建筑业,6 years,1,2,2015/10/1,0,160,4,14.16,1,540.0,675.0,10,0,0.0,14666.0,67.96153846,1,0,2-Jun,0,1,5.0,0.0,7.0,15.0,4.0,1,4094,409.4
1037962,237962,5454.545455,3,14.289,168.45,C,普通企业,金融业,5 years,0,2,2016/2/1,7,70,32,22.17818182,0,640.9090909,694.3181818,14,0,0.0,7599.0,39.0,0,0,7-Apr,8,1,11.0,,2.0,13.0,7.0,3,918,91.8
1002492,202492,7090.909091,3,4.788,180.69,A,幼教与中小学校,公共服务、社会组织,10+ years,0,1,2015/11/1,2,373,13,16.96,1,572.7272727,620.4545455,9,0,0.0,11503.84615,89.49230769,0,0,3-Apr,5,1,3.0,0.0,13.0,10.0,9.0,0,0,0.0
1001571,201571,32727.27273,3,17.171,1048.95,D,世界五百强,公共服务、社会组织,3 years,0,2,2015/4/1,0,265,7,22.84,0,622.7272727,778.4090909,16,0,0.0,32963.53846,60.92307692,1,0,2-Nov,0,1,9.0,0.0,11.0,24.0,11.0,0,0,0.0
1023261,223261,7090.909091,3,19.92,222.74,D,普通企业,公共服务、社会组织,4 years,0,1,2018/10/1,0,113,22,11.05090909,0,720.0,840.0,6,0,0.0,1498.0,59.9,0,0,4-Aug,0,1,3.0,0.0,4.0,5.0,5.0,0,0,0.0
1016427,216427,20000.0,3,8.937,644.69,B,政府机构,金融业,4 years,1,2,2017/5/1,0,608,0,12.19,0,680.0,793.3333333,12,0,0.0,10978.15385,67.1,1,0,5-Jan,0,1,7.0,0.0,12.0,7.0,5.0,1,3878,0.0
1040795,240795,20000.0,5,14.99,475.7,C,高等教育机构,公共服务、社会组织,5 years,0,1,2014/5/1,3,125,9,17.88181818,0,627.2727273,784.0909091,15,0,0.0,39644.76923,77.81538462,1,0,Nov-93,3,1,9.0,0.0,9.0,19.0,10.0,0,0,0.0
1014361,214361,7636.363636,3,13.849,234.48,C,普通企业,文化和体育业,6 years,1,1,2015/12/1,0,411,11,13.55454545,0,556.3636364,649.0909091,7,0,0.0,6881.538462,90.4,1,0,3-Sep,0,1,3.0,0.0,2.0,4.0,4.0,0,0,0.0
