total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,post_code,region,debt_loan_ratio,app_type,isDefault
31818.18182,3,11.466,1174.91,C,政府机构,金融业,3 years,0,2,193,13,2.43,0,0
28000.0,5,16.841,670.69,C,政府机构,金融业,10+ years,0,0,491,30,11.00454545,0,0
17272.72727,3,8.9,603.32,A,政府机构,公共服务、社会组织,10+ years,1,4,459,8,6.409090909,0,0
20000.0,3,4.788,602.3,A,世界五百强,文化和体育业,6 years,0,0,157,8,9.204545455,0,0
15272.72727,3,12.79,470.31,C,政府机构,信息传输、软件和信息技术服务业,< 1 year,2,0,38,21,15.57818182,0,0
25454.54545,3,10.637,899.15,B,幼教与中小学校,信息传输、软件和信息技术服务业,10+ years,0,0,258,8,15.80727273,0,0
9090.909091,5,15.741,234.3,C,高等教育机构,金融业,10+ years,1,0,58,17,4.243636364,0,0
10288.63636,3,11.49,414.62,B,普通企业,制造业,2 years,1,4,242,8,2.227272727,0,0
6818.181818,3,20.064,272.05,D,普通企业,金融业,,0,0,165,17,22.93090909,0,0
10800.0,3,14.33,339.95,C,幼教与中小学校,住宿和餐饮业,4 years,1,0,263,0,21.22363636,0,0
14727.27273,5,12.897,421.92,C,政府机构,建筑业,3 years,1,0,14,11,24.5,0,0
6400.0,3,20.889,234.57,E,幼教与中小学校,金融业,,2,0,296,5,37.56,0,0
29454.54545,3,6.489,1115.04,A,政府机构,电力、热力生产供应业,< 1 year,2,0,49,12,29.72454545,1,0
1636.363636,3,17.091,65.98,D,普通企业,住宿和餐饮业,10+ years,1,0,255,9,23.14,0,1
20415.90909,5,15.291,429.24,D,普通企业,电力、热力生产供应业,10+ years,0,0,408,14,29.40909091,0,0
5500.0,3,12.62,184.32,C,普通企业,住宿和餐饮业,,1,0,549,8,36.76363636,0,0
35000.0,5,12.69,790.82,C,上市企业,建筑业,3 years,0,0,19,14,27.45,0,1
7090.909091,3,6.615,186.23,A,普通企业,金融业,3 years,0,0,616,0,20.71636364,0,0
20454.54545,3,6.291,771.82,A,普通企业,公共服务、社会组织,1 year,0,4,89,3,14.95454545,0,0
8181.818182,5,17.171,241.12,D,普通企业,金融业,10+ years,1,4,95,13,14.13636364,0,1
41363.63636,5,15.939,823.31,C,普通企业,电力、热力生产供应业,10+ years,0,4,63,14,12.99272727,0,1
8727.272727,3,10.923,257.88,B,政府机构,金融业,2 years,1,0,49,12,4.327272727,0,0
16363.63636,5,14.193,483.93,D,上市企业,文化和体育业,4 years,0,0,526,20,16.17818182,0,0
21818.18182,3,9.99,645.25,B,普通企业,公共服务、社会组织,8 years,0,0,232,13,15.68727273,0,0
4545.454545,3,12.744,171.28,C,普通企业,房地产业,4 years,2,8,529,23,8.09,0,0
17727.27273,3,17.091,549.77,D,高等教育机构,信息传输、软件和信息技术服务业,< 1 year,1,4,171,8,22.77818182,0,1
