total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
33.46,5,68.74,37.66,5,3,9,8,1,0,2.35,0,8.62,3.6,61.91,0,0,0.0,1
19.37,5,55.85,21.09,6,2,6,4,1,0,0.84,3,24.14,1.05,30.0,0,0,0.0,1
4.11,3,15.6,4.54,2,4,13,3,1,1,0.38,0,1.72,0.24,39.2,0,0,0.0,0
26.42,5,49.75,27.59,4,2,10,10,1,4,3.09,0,6.9,4.92,86.67,1,0,0.0,1
49.12,5,63.77,48.08,5,4,3,1,0,0,0.92,0,8.62,2.09,89.55,0,0,0.0,1
23.68,3,1.85,18.37,1,4,13,11,0,0,0.35,0,24.14,1.93,26.79,0,2,0.37,0
29.94,3,33.26,39.98,3,2,11,1,0,0,2.65,0,24.14,2.42,55.54,0,3,40.02,0
15.85,3,61.8,17.05,5,1,11,1,1,0,4.01,0,13.79,1.97,62.07,0,0,0.0,1
18.49,3,20.59,23.85,3,0,5,4,1,0,1.49,0,10.34,0.63,13.78,0,2,24.57,0
69.47,3,28.76,61.03,2,4,3,9,0,0,2.6,0,27.59,2.13,30.36,0,0,0.0,0
8.02,3,22.81,9.11,2,4,13,3,1,2,1.07,0,15.52,0.75,43.93,0,3,8.68,0
61.84,3,0.03,49.03,1,5,13,1,1,0,2.26,0,15.52,3.37,54.06,0,0,0.0,0
23.68,5,48.91,16.36,5,4,7,3,2,0,2.32,0,22.41,0.85,38.14,0,3,4.86,0
28.0,3,24.73,23.9,2,4,1,10,1,0,0.63,0,10.34,0.0,0.1,0,1,10.79,0
40.51,5,32.92,27.64,3,4,11,10,0,0,1.13,0,22.41,1.17,37.31,0,3,31.2,0
11.45,3,26.75,15.33,3,3,13,2,1,1,1.8,0,31.03,1.77,38.72,0,0,0.0,1
54.13,5,38.68,38.83,4,4,10,3,0,0,2.44,0,17.24,1.12,60.55,0,0,0.0,0
42.27,5,36.34,37.4,3,5,2,6,0,4,1.95,0,32.76,7.45,47.45,0,0,0.0,0
34.87,3,16.29,28.86,2,0,3,11,2,4,3.4,1,20.69,4.73,52.48,0,3,37.82,0
33.43,3,21.51,34.94,3,4,4,1,0,0,3.14,0,15.52,0.68,34.36,0,1,8.17,0
6.26,3,52.38,8.03,5,3,13,11,1,5,4.36,0,8.62,1.2,51.28,0,0,0.0,1
29.3,3,33.8,28.89,3,5,10,6,0,4,1.22,0,10.34,0.72,70.12,0,3,10.76,0
60.82,3,50.91,58.18,4,3,3,7,0,0,3.71,1,32.76,6.34,65.58,0,0,0.0,1
32.05,3,21.87,29.54,2,3,12,1,1,0,1.2,0,8.62,2.95,49.0,0,3,20.44,0
15.46,3,14.45,14.99,2,3,13,8,1,4,0.47,0,18.97,1.38,34.55,0,0,0.0,0
36.4,3,21.13,31.24,2,0,12,2,0,2,0.52,0,13.79,0.32,13.48,0,3,6.32,0
21.72,3,11.68,23.53,1,2,10,1,2,0,2.49,1,25.86,3.61,50.82,0,1,10.83,0
13.89,3,32.57,16.23,3,4,0,3,0,0,1.42,0,8.62,0.67,59.31,0,0,0.0,0
47.16,3,10.27,50.38,1,3,1,6,0,8,1.93,0,27.59,4.42,38.21,0,1,1.13,0
21.72,3,25.03,24.59,2,4,2,9,0,4,1.14,0,17.24,1.73,25.94,0,0,0.0,1
17.03,3,47.64,17.29,4,2,9,7,1,5,1.24,0,20.69,0.97,42.09,0,3,6.45,0
54.6,3,19.05,51.64,2,2,11,10,1,0,1.03,0,8.62,1.21,40.94,0,3,58.31,0
17.03,3,16.43,15.62,2,4,2,1,0,2,0.72,1,12.07,2.65,68.42,0,1,5.21,0
29.55,5,52.81,26.82,5,1,11,1,2,0,1.99,0,17.24,0.68,41.17,0,0,0.0,1
19.77,3,50.48,22.99,4,3,8,1,0,0,2.12,0,18.97,1.58,62.26,0,2,15.27,0
18.55,3,41.31,18.37,3,4,13,1,1,0,1.48,0,15.52,0.71,87.5,0,0,0.0,1
8.41,3,35.14,7.35,3,4,13,6,0,0,2.59,0,17.24,0.95,39.38,0,0,0.77,0
23.68,3,22.13,20.64,2,0,3,2,2,4,2.87,1,24.14,1.66,66.96,0,2,22.47,1
16.56,3,31.75,16.44,4,5,8,11,0,0,1.57,0,12.07,0.52,40.09,0,3,18.96,0
54.6,3,19.17,51.67,2,4,13,1,1,0,1.27,2,34.48,1.37,24.87,0,1,6.46,0
35.91,3,14.45,35.25,2,2,9,2,1,4,1.48,0,17.24,1.58,55.33,0,0,0.0,0
11.39,3,22.81,10.46,2,4,3,0,2,0,2.87,0,17.24,0.79,48.04,0,3,2.74,1
44.03,5,43.8,29.97,5,3,7,6,1,0,1.37,0,6.9,0.44,35.0,0,0,0.0,1
36.99,3,28.2,49.3,3,4,13,7,1,0,2.55,0,24.14,2.1,57.54,0,0,0.0,1
22.78,3,26.85,23.86,3,4,12,7,1,4,1.91,0,13.79,1.83,46.07,0,3,10.78,0
30.53,3,23.67,32.23,3,4,12,6,0,4,3.18,0,10.34,2.66,54.22,0,0,21.15,0
56.95,5,77.77,57.68,6,0,4,4,0,5,1.7,0,24.14,1.17,29.82,0,3,24.71,0
11.86,3,2.22,9.91,1,4,10,6,0,4,1.92,0,17.24,0.97,14.69,0,3,13.83,1
49.9,5,47.64,38.41,4,4,3,3,0,0,1.31,0,20.69,2.28,76.79,0,0,0.0,1
9.51,3,23.15,8.52,2,3,10,4,1,10,2.16,4,12.07,0.47,45.15,0,2,7.19,0
21.72,3,23.15,19.99,2,4,1,3,0,0,0.71,0,13.79,0.65,84.76,0,1,11.43,0
47.08,3,26.75,46.17,3,4,1,2,0,0,2.12,4,34.48,9.74,44.94,0,3,15.44,1
63.99,5,14.92,38.45,2,4,7,3,0,0,1.11,0,25.86,3.57,27.93,0,5,15.45,0
18.2,3,15.24,19.75,1,4,3,1,0,0,0.49,0,15.52,1.12,29.6,0,3,26.04,0
