interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use,labels
20.59,9.09,2.26,6.9,0.0,0.0,71.17,8.63,26.75,12.13,0.0,3,5,1,1,11,0,0
11.9,21.21,1.83,15.52,0.0,0.0,58.48,3.28,27.74,37.75,0.0,2,3,1,2,1,0,0
27.26,30.3,1.73,34.48,0.0,0.0,31.76,4.69,57.11,61.76,0.0,3,5,0,0,1,0,1
13.36,30.3,1.28,31.03,0.0,0.0,24.02,1.86,29.72,40.44,60.0,1,3,1,0,1,4,0
41.82,3.03,1.24,13.79,0.0,0.0,50.98,1.07,30.17,16.18,60.0,4,3,2,1,10,5,0
48.67,18.18,2.91,15.52,0.0,0.0,62.77,1.22,14.34,7.72,0.0,4,3,2,0,1,0,0
43.8,18.18,1.51,12.07,0.0,0.0,70.8,1.79,51.29,54.41,0.0,4,5,1,1,2,0,1
61.8,21.21,1.46,17.24,8.33,0.0,59.02,1.78,46.63,48.53,0.0,5,5,1,2,0,6,1
27.43,39.39,2.21,63.79,0.0,0.0,68.93,2.51,41.06,55.88,0.0,3,3,2,2,4,7,1
28.2,9.09,0.19,5.17,0.0,0.0,1.24,0.01,36.41,23.53,0.0,3,3,1,1,10,0,1
23.6,24.24,1.64,18.97,0.0,0.0,45.15,3.3,66.33,58.82,0.0,2,3,0,0,4,0,0
20.36,24.24,3.51,25.86,0.0,0.0,28.09,2.58,50.12,52.94,0.0,2,3,0,0,1,0,0
49.82,54.55,2.41,36.21,0.0,0.0,36.48,4.93,18.19,24.75,60.0,4,3,2,0,1,0,0
8.85,12.12,1.04,10.34,16.67,40.0,66.39,0.93,45.03,33.7,0.0,2,3,0,2,11,4,1
41.42,12.12,0.52,8.62,0.0,0.0,64.67,0.45,5.67,7.72,60.0,4,3,2,1,7,4,0
13.36,9.09,1.31,13.79,0.0,0.0,13.43,0.84,69.04,62.01,60.0,1,3,1,0,9,2,0
18.18,12.12,2.52,20.69,8.33,20.0,39.7,0.99,22.0,17.4,60.0,2,3,1,0,1,4,0
19.56,12.12,0.25,36.21,0.0,0.0,4.02,0.76,40.77,28.68,60.0,2,3,0,2,11,3,0
7.95,6.06,2.07,8.62,0.0,0.0,81.58,3.8,50.79,69.12,0.0,1,3,2,0,1,4,0
24.7,36.36,1.73,25.86,0.0,0.0,55.87,2.65,62.59,54.41,0.0,3,3,1,0,0,0,1
40.31,36.36,3.41,29.31,8.33,20.0,57.59,1.48,30.17,16.18,0.0,4,5,1,0,9,4,1
40.33,21.21,2.13,15.52,0.0,0.0,28.52,2.46,43.59,59.31,0.0,3,5,1,2,10,0,0
9.63,27.27,1.84,25.86,0.0,0.0,39.8,5.16,42.37,43.14,0.0,1,3,1,2,1,0,0
38.82,24.24,2.8,22.41,0.0,0.0,79.78,2.42,5.67,7.72,40.0,3,5,0,0,0,4,0
40.31,15.15,2.38,13.79,0.0,0.0,94.71,8.87,56.46,47.18,0.0,4,3,2,1,10,0,1
2.22,3.03,0.77,15.52,0.0,0.0,0.0,1.09,41.6,56.62,0.0,1,3,2,0,1,2,0
7.14,21.21,1.83,29.31,0.0,0.0,41.96,1.95,45.39,61.76,20.0,1,3,0,0,9,0,0
19.17,21.21,4.14,24.14,0.0,0.0,60.17,6.36,32.67,30.88,0.0,2,3,2,0,11,4,1
15.97,9.09,0.93,5.17,8.33,0.0,25.64,0.11,49.61,39.09,0.0,2,3,0,1,5,0,0
37.02,6.06,0.72,6.9,0.0,0.0,19.52,0.47,47.7,49.88,0.0,3,5,1,1,0,4,0
29.28,9.09,2.76,18.97,0.0,0.0,52.81,5.99,25.39,34.56,0.0,3,5,1,0,0,0,1
21.27,24.24,2.22,17.24,8.33,20.0,55.55,1.26,33.83,32.35,0.0,2,3,0,1,1,4,0
